Index,기능,Method,API Path,Request,Response
AUTH-001,카카오 로그인,POST,/api/v1/auth/kakao/login,KakaoLoginRequest (KakaoLoginRequest (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/KakaoLoginRequest%203919e2d9440581129fb7e1b7e818834c.md)),LoginResponse (LoginResponse (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/LoginResponse%203919e2d94405818abd1edb83e0f960f7.md))
AUTH-002,애플 로그인,POST,/api/v1/auth/apple/login,AppleLoginRequest (AppleLoginRequest (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/AppleLoginRequest%203919e2d9440581cca6eee5b1b388aba8.md)),LoginResponse (LoginResponse (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/LoginResponse%203919e2d94405818abd1edb83e0f960f7.md))
AUTH-003,네이버 로그인,POST,/api/v1/auth/naver/login,NaverLoginRequest (NaverLoginRequest (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/NaverLoginRequest%203919e2d94405818f972dd0a652e44222.md)),LoginResponse (LoginResponse (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/LoginResponse%203919e2d94405818abd1edb83e0f960f7.md))
AUTH-004,온보딩 완료,POST,/api/v1/auth/onboarding/complete,OnboardingCompleteRequest (OnboardingCompleteRequest (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/OnboardingCompleteRequest%203919e2d944058174b021d7b6ff319a86.md)),OnboardingCompleteResponse (OnboardingCompleteResponse (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/OnboardingCompleteResponse%203919e2d9440581a79c12f0250eed1afe.md))
AUTH-005,로그아웃,POST,/api/v1/auth/logout,None,Empty success response
AUTH-006,토큰 재발급,POST,/api/v1/auth/reissue,ReissueRequest (ReissueRequest (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/ReissueRequest%203929e2d9440581c0a4d6dd81e6762b39.md)) or refreshToken cookie,TokenResponse (TokenResponse (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/TokenResponse%203909e2d9440581139390e591613d6fcb.md))
COMM-001,커뮤니티 게시글 목록 조회,GET,/api/v1/community/posts,"Query: postType, cropId, keyword, page, size",PageResponse<CommunityPostResponse>
COMM-002,커뮤니티 게시글 생성,POST,/api/v1/community/posts,CommunityPostCreateRequest,CommunityPostResponse
COMM-003,커뮤니티 게시글 상세 조회,GET,/api/v1/community/posts/{postId},None,CommunityPostResponse
COMM-004,커뮤니티 게시글 수정,PATCH,/api/v1/community/posts/{postId},CommunityPostUpdateRequest,CommunityPostResponse
COMM-005,커뮤니티 게시글 삭제,DELETE,/api/v1/community/posts/{postId},None,IdResponse
COMM-006,커뮤니티 댓글 목록 조회,GET,/api/v1/community/posts/{postId}/comments,"Query: page, size",PageResponse<CommunityCommentResponse>
COMM-007,커뮤니티 댓글 작성,POST,/api/v1/community/posts/{postId}/comments,CommunityCommentCreateRequest,CommunityCommentResponse
COMM-008,커뮤니티 댓글 수정,PATCH,/api/v1/community/comments/{commentId},CommunityCommentUpdateRequest,CommunityCommentResponse
COMM-009,커뮤니티 댓글 삭제,DELETE,/api/v1/community/comments/{commentId},None,IdResponse
COMM-010,질문 답변 채택,POST,/api/v1/community/posts/{postId}/comments/{commentId}/accept,None,AcceptCommentResponse
CROP-001,작물 마스터 목록 조회,GET,/api/v1/crops,"Query: keyword, category, lifecycleType, page, size",PageResponse<CropResponse>
CROP-002,내 재배 작물 목록 조회,GET,/api/v1/user-crops,"Query: farmId, status, page, size",PageResponse<UserCropResponse>
CROP-003,내 재배 작물 등록,POST,/api/v1/user-crops,UserCropUpsertRequest,UserCropResponse
CROP-004,내 재배 작물 수정,PATCH,/api/v1/user-crops/{userCropId},UserCropUpsertRequest,UserCropResponse
CROP-005,내 재배 작물 삭제,DELETE,/api/v1/user-crops/{userCropId},None,IdResponse
FARM-001,내 농장 목록 조회,GET,/api/v1/farms,"Query: page, size",PageResponse<FarmResponse>
FARM-002,농장 생성,POST,/api/v1/farms,FarmCreateRequest,FarmResponse
FARM-003,농장 수정,PATCH,/api/v1/farms/{farmId},FarmUpdateRequest,FarmResponse
FARM-004,농장 삭제,DELETE,/api/v1/farms/{farmId},None,IdResponse
LEGAL-001,약관 문서 목록 조회,GET,/api/v1/legal-documents,"Query: documentType, latestOnly",LegalDocumentResponse[]
LEGAL-002,약관 동의 저장,POST,/api/v1/user-consents,UserConsentRequest,UserConsentResponse
LEGAL-003,내 약관 동의 목록 조회,GET,/api/v1/user-consents,None,UserConsentResponse[]
NOTI-001,알림 설정 조회,GET,/api/v1/notification-preferences,None,NotificationPreferenceResponse[]
NOTI-002,알림 설정 수정,PATCH,/api/v1/notification-preferences,NotificationPreferenceUpdateRequest,NotificationPreferenceResponse[]
POLICY-001,추천 정책 목록 조회,GET,/api/v1/policy-recommendations,"Query: page, size",PageResponse<PolicyRecommendationResponse>
POLICY-002,정책 추천 재계산,POST,/api/v1/policy-recommendations/recalculate,None,PageResponse<PolicyRecommendationResponse>
POLICY-003,정책 상세 조회,GET,/api/v1/policy-programs/{policyProgramId},None,PolicyProgramResponse
RECORD-001,영농일지 목록 조회,GET,/api/v1/farming-records,"Query: farmId, cropId, workTypeId, from, to, page, size",PageResponse<FarmingRecordResponse>
RECORD-002,영농일지 생성,POST,/api/v1/farming-records,FarmingRecordCreateRequest,FarmingRecordResponse
RECORD-003,영농일지 상세 조회,GET,/api/v1/farming-records/{recordId},None,FarmingRecordResponse
RECORD-004,영농일지 수정,PATCH,/api/v1/farming-records/{recordId},FarmingRecordUpdateRequest,FarmingRecordResponse
RECORD-005,영농일지 삭제,DELETE,/api/v1/farming-records/{recordId},None,IdResponse
RECORD-006,영농일지 사진 추가,POST,/api/v1/farming-records/{recordId}/media,RecordMediaUploadRequest,RecordMediaResponse
RECORD-007,영농일지 사진 삭제,DELETE,/api/v1/farming-records/{recordId}/media/{mediaId},None,IdResponse
RECORD-008,영농일지 코칭 피드백 조회,GET,/api/v1/farming-records/{recordId}/coaching-feedback,None,CoachingFeedbackResponse
RECORD-009,영농일지 코칭 피드백 재생성,POST,/api/v1/farming-records/{recordId}/coaching-feedback/regenerate,None,CoachingFeedbackResponse
REPORT-001,영농 리포트 조회,GET,/api/v1/reports/farming,"Query: periodType, from, to, farmId, cropId",FarmingReportResponse
SEARCH-001,통합 검색,GET,/api/v1/search,"Query: q, type, cropId, workTypeId, from, to, page, size",SearchResponse
USER-001,내 프로필 조회,GET,/api/v1/users/me,None,UserProfileResponse
USER-003,내 프로필 수정,PATCH,/api/v1/users/me,UserProfileUpdateRequest,UserProfileResponse
USER-004,회원탈퇴,DELETE,/api/v1/users/me,WithdrawUserRequest,IdResponse
VOICE-001,음성 기록 세션 생성,POST,/api/v1/voice-record-sessions,VoiceSessionCreateRequest,VoiceSessionResponse
VOICE-002,음성 기록 세션 상세 조회,GET,/api/v1/voice-record-sessions/{sessionId},None,VoiceSessionResponse
VOICE-003,음성 전사문 갱신,PATCH,/api/v1/voice-record-sessions/{sessionId}/transcript,VoiceSessionTranscriptUpdateRequest,VoiceSessionResponse
VOICE-004,음성 대화 턴 추가,POST,/api/v1/voice-record-sessions/{sessionId}/turns,VoiceSessionTurnRequest,VoiceSessionResponse
VOICE-005,음성 세션 AI 구조화 실행,POST,/api/v1/voice-record-sessions/{sessionId}/structure,None,AiParseCandidateResponse
VOICE-006,음성 세션 저장 승인,POST,/api/v1/voice-record-sessions/{sessionId}/confirm,VoiceSessionConfirmRequest,FarmingRecordResponse
VOICE-007,음성 세션 취소,POST,/api/v1/voice-record-sessions/{sessionId}/cancel,None,VoiceSessionResponse
WORK-001,작업 종류 목록 조회,GET,/api/v1/work-types,None,WorkTypeResponse[]
WORK-002,작업 종류별 입력 필드 조회,GET,/api/v1/work-types/{workTypeId}/fields,None,WorkTypeFieldResponse[]
,,,,,