기능,API Path,Index,Method,Request,Response
,,,,,
회원탈퇴,/api/v1/users/me,USER-004,DELETE,WithdrawUserRequest,IdResponse
내 프로필 수정,/api/v1/users/me,USER-003,PATCH,UserProfileUpdateRequest,UserProfileResponse
농장 수정,/api/v1/farms/{farmId},FARM-003,PATCH,FarmUpdateRequest,FarmResponse
영농일지 생성,/api/v1/farming-records,RECORD-002,POST,FarmingRecordCreateRequest,FarmingRecordResponse
내 재배 작물 수정,/api/v1/user-crops/{userCropId},CROP-004,PATCH,UserCropUpsertRequest,UserCropResponse
내 농장 목록 조회,/api/v1/farms,FARM-001,GET,"Query: page, size",PageResponse<FarmResponse>
내 재배 작물 등록,/api/v1/user-crops,CROP-003,POST,UserCropUpsertRequest,UserCropResponse
농장 생성,/api/v1/farms,FARM-002,POST,FarmCreateRequest,FarmResponse
온보딩 완료,/api/v1/auth/onboarding/complete,AUTH-004,POST,OnboardingCompleteRequest (OnboardingCompleteRequest (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/OnboardingCompleteRequest%203919e2d944058174b021d7b6ff319a86.md)),OnboardingCompleteResponse (OnboardingCompleteResponse (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/OnboardingCompleteResponse%203919e2d9440581a79c12f0250eed1afe.md))
작물 마스터 목록 조회,/api/v1/crops,CROP-001,GET,"Query: keyword, category, lifecycleType, page, size",PageResponse<CropResponse>
내 프로필 조회,/api/v1/users/me,USER-001,GET,None,UserProfileResponse
영농일지 사진 삭제,/api/v1/farming-records/{recordId}/media/{mediaId},RECORD-007,DELETE,None,IdResponse
작업 종류별 입력 필드 조회,/api/v1/work-types/{workTypeId}/fields,WORK-002,GET,None,WorkTypeFieldResponse[]
영농일지 목록 조회,/api/v1/farming-records,RECORD-001,GET,"Query: farmId, cropId, workTypeId, from, to, page, size",PageResponse<FarmingRecordResponse>
작업 종류 목록 조회,/api/v1/work-types,WORK-001,GET,None,WorkTypeResponse[]
영농일지 수정,/api/v1/farming-records/{recordId},RECORD-004,PATCH,FarmingRecordUpdateRequest,FarmingRecordResponse
내 재배 작물 목록 조회,/api/v1/user-crops,CROP-002,GET,"Query: farmId, status, page, size",PageResponse<UserCropResponse>
영농일지 코칭 피드백 재생성,/api/v1/farming-records/{recordId}/coaching-feedback/regenerate,RECORD-009,POST,None,CoachingFeedbackResponse
내 재배 작물 삭제,/api/v1/user-crops/{userCropId},CROP-005,DELETE,None,IdResponse
영농일지 코칭 피드백 조회,/api/v1/farming-records/{recordId}/coaching-feedback,RECORD-008,GET,None,CoachingFeedbackResponse
농장 삭제,/api/v1/farms/{farmId},FARM-004,DELETE,None,IdResponse
로그아웃,/api/v1/auth/logout,AUTH-005,POST,None,Empty success response
영농일지 상세 조회,/api/v1/farming-records/{recordId},RECORD-003,GET,None,FarmingRecordResponse
영농일지 삭제,/api/v1/farming-records/{recordId},RECORD-005,DELETE,None,IdResponse
영농일지 사진 추가,/api/v1/farming-records/{recordId}/media,RECORD-006,POST,RecordMediaUploadRequest,RecordMediaResponse
질문 답변 채택,/api/v1/community/posts/{postId}/comments/{commentId}/accept,COMM-010,POST,None,AcceptCommentResponse
음성 세션 AI 구조화 실행,/api/v1/voice-record-sessions/{sessionId}/structure,VOICE-005,POST,None,AiParseCandidateResponse
추천 정책 목록 조회,/api/v1/policy-recommendations,POLICY-001,GET,"Query: page, size",PageResponse<PolicyRecommendationResponse>
커뮤니티 게시글 삭제,/api/v1/community/posts/{postId},COMM-005,DELETE,None,IdResponse
커뮤니티 게시글 생성,/api/v1/community/posts,COMM-002,POST,CommunityPostCreateRequest,CommunityPostResponse
커뮤니티 댓글 삭제,/api/v1/community/comments/{commentId},COMM-009,DELETE,None,IdResponse
약관 문서 목록 조회,/api/v1/legal-documents,LEGAL-001,GET,"Query: documentType, latestOnly",LegalDocumentResponse[]
약관 동의 저장,/api/v1/user-consents,LEGAL-002,POST,UserConsentRequest,UserConsentResponse
알림 설정 조회,/api/v1/notification-preferences,NOTI-001,GET,None,NotificationPreferenceResponse[]
내 약관 동의 목록 조회,/api/v1/user-consents,LEGAL-003,GET,None,UserConsentResponse[]
정책 추천 재계산,/api/v1/policy-recommendations/recalculate,POLICY-002,POST,None,PageResponse<PolicyRecommendationResponse>
알림 설정 수정,/api/v1/notification-preferences,NOTI-002,PATCH,NotificationPreferenceUpdateRequest,NotificationPreferenceResponse[]
커뮤니티 게시글 수정,/api/v1/community/posts/{postId},COMM-004,PATCH,CommunityPostUpdateRequest,CommunityPostResponse
정책 상세 조회,/api/v1/policy-programs/{policyProgramId},POLICY-003,GET,None,PolicyProgramResponse
통합 검색,/api/v1/search,SEARCH-001,GET,"Query: q, type, cropId, workTypeId, from, to, page, size",SearchResponse
커뮤니티 게시글 상세 조회,/api/v1/community/posts/{postId},COMM-003,GET,None,CommunityPostResponse
커뮤니티 댓글 작성,/api/v1/community/posts/{postId}/comments,COMM-007,POST,CommunityCommentCreateRequest,CommunityCommentResponse
커뮤니티 게시글 목록 조회,/api/v1/community/posts,COMM-001,GET,"Query: postType, cropId, keyword, page, size",PageResponse<CommunityPostResponse>
음성 전사문 갱신,/api/v1/voice-record-sessions/{sessionId}/transcript,VOICE-003,PATCH,VoiceSessionTranscriptUpdateRequest,VoiceSessionResponse
음성 세션 저장 승인,/api/v1/voice-record-sessions/{sessionId}/confirm,VOICE-006,POST,VoiceSessionConfirmRequest,FarmingRecordResponse
음성 세션 취소,/api/v1/voice-record-sessions/{sessionId}/cancel,VOICE-007,POST,None,VoiceSessionResponse
음성 대화 턴 추가,/api/v1/voice-record-sessions/{sessionId}/turns,VOICE-004,POST,VoiceSessionTurnRequest,VoiceSessionResponse
커뮤니티 댓글 수정,/api/v1/community/comments/{commentId},COMM-008,PATCH,CommunityCommentUpdateRequest,CommunityCommentResponse
커뮤니티 댓글 목록 조회,/api/v1/community/posts/{postId}/comments,COMM-006,GET,"Query: page, size",PageResponse<CommunityCommentResponse>
음성 기록 세션 생성,/api/v1/voice-record-sessions,VOICE-001,POST,VoiceSessionCreateRequest,VoiceSessionResponse
음성 기록 세션 상세 조회,/api/v1/voice-record-sessions/{sessionId},VOICE-002,GET,None,VoiceSessionResponse
영농 리포트 조회,/api/v1/reports/farming,REPORT-001,GET,"Query: periodType, from, to, farmId, cropId",FarmingReportResponse
애플 로그인,/api/v1/auth/apple/login,AUTH-002,POST,AppleLoginRequest (AppleLoginRequest (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/AppleLoginRequest%203919e2d9440581cca6eee5b1b388aba8.md)),LoginResponse (LoginResponse (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/LoginResponse%203919e2d94405818abd1edb83e0f960f7.md))
카카오 로그인,/api/v1/auth/kakao/login,AUTH-001,POST,KakaoLoginRequest (KakaoLoginRequest (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/KakaoLoginRequest%203919e2d9440581129fb7e1b7e818834c.md)),LoginResponse (LoginResponse (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/LoginResponse%203919e2d94405818abd1edb83e0f960f7.md))
네이버 로그인,/api/v1/auth/naver/login,AUTH-003,POST,NaverLoginRequest (NaverLoginRequest (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/NaverLoginRequest%203919e2d94405818f972dd0a652e44222.md)),LoginResponse (LoginResponse (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/LoginResponse%203919e2d94405818abd1edb83e0f960f7.md))
토큰 재발급,/api/v1/auth/reissue,AUTH-006,POST,ReissueRequest (ReissueRequest (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/ReissueRequest%203929e2d9440581c0a4d6dd81e6762b39.md)) or refreshToken cookie,TokenResponse (TokenResponse (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/TokenResponse%203909e2d9440581139390e591613d6fcb.md))